Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
Asher Brown Durand,"Cadwallader David Colden, Mayor of New York City",1825,https://stor.artstor.org/stor/1bfb1951-7b29-464a-8da3-bd5e3d459c86_size1,durand,Ac
Asher Brown Durand,"Cadwallader David Colden, Mayor of New York City",1825,https://stor.artstor.org/stor/1bfb1951-7b29-464a-8da3-bd5e3d459c86_size1,durand,Cs
Asher Brown Durand,"Cadwallader David Colden, Mayor of New York City",1825,https://stor.artstor.org/stor/3d027bc7-55c0-4c7d-a1e3-9450c2360acc_size1,durand,Ac
Asher Brown Durand,"Cadwallader David Colden, Mayor of New York City",1825,https://stor.artstor.org/stor/3d027bc7-55c0-4c7d-a1e3-9450c2360acc_size1,durand,Cs
Asher Brown Durand,Untitled (Declaration of Independence),1823,https://stor.artstor.org/stor/4411e4b8-695d-464c-9bc3-03044c60d1e8_size1,durand,Sc
Asher Brown Durand,Chocorua Peak,1855,https://stor.artstor.org/stor/e8e0a662-6326-46b9-8b8b-c14c1562d8d4_size1,durand,Cu
Asher Brown Durand,Chocorua Peak,1855,https://stor.artstor.org/stor/e8e0a662-6326-46b9-8b8b-c14c1562d8d4_size1,durand,St
Asher Brown Durand,"Accounts—""Life School"" (from Sketchbook)",1796,https://stor.artstor.org/stor/6514f50b-4628-4f65-abc6-678e92610a0d_size1,durand,Ns
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/43e4fe80-623a-4716-a7ea-95c44b414997_size1,durand,Cs
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/43e4fe80-623a-4716-a7ea-95c44b414997_size1,durand,As
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/43e4fe80-623a-4716-a7ea-95c44b414997_size1,durand,Ci
Asher Brown Durand,Luman Reed,1836,https://stor.artstor.org/stor/882e48cc-4fdf-40e4-a189-2d0d291431b7_size1,durand,Cs
Asher Brown Durand,Luman Reed,1836,https://stor.artstor.org/stor/882e48cc-4fdf-40e4-a189-2d0d291431b7_size1,durand,As
Asher Brown Durand,Luman Reed,1836,https://stor.artstor.org/stor/882e48cc-4fdf-40e4-a189-2d0d291431b7_size1,durand,Ci
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/29a4b93a-6bed-42ff-8439-395eeb048481_size1,durand,Cs
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/29a4b93a-6bed-42ff-8439-395eeb048481_size1,durand,As
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/29a4b93a-6bed-42ff-8439-395eeb048481_size1,durand,Ci
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/3451ee3f-38e1-4e18-8481-ef39da91c2b9_size1,durand,Cs
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/3451ee3f-38e1-4e18-8481-ef39da91c2b9_size1,durand,As
Asher Brown Durand,Luman Reed,1835,https://stor.artstor.org/stor/3451ee3f-38e1-4e18-8481-ef39da91c2b9_size1,durand,Ci
Asher Brown Durand,River Scene,1854,https://stor.artstor.org/stor/bcd930bb-60da-453c-adc6-129c51bfec80_size1,durand,Ns
Asher Brown Durand,River Scene,1854,https://stor.artstor.org/stor/bcd930bb-60da-453c-adc6-129c51bfec80_size1,durand,Sc
Asher Brown Durand,River Scene,1854,https://stor.artstor.org/stor/bcd930bb-60da-453c-adc6-129c51bfec80_size1,bierstadt,Ns
Albert Bierstadt,River Scene,1858,https://stor.artstor.org/stor/baf5faea-2d07-4dba-9396-116e3eda6d1b_size1,durand,Ns
Albert Bierstadt,River Scene,1858,https://stor.artstor.org/stor/baf5faea-2d07-4dba-9396-116e3eda6d1b_size1,durand,Sc
Albert Bierstadt,River Scene,1858,https://stor.artstor.org/stor/baf5faea-2d07-4dba-9396-116e3eda6d1b_size1,bierstadt,Ns
Asher Brown Durand,Landscape with covered wagon,1847,https://stor.artstor.org/stor/6a18ef94-025d-41f7-928b-f42a14c8b2ae_size1,durand,Sc
Asher Brown Durand,The Catskills,1859,https://stor.artstor.org/stor/12c9d0e1-663a-4125-be00-19734987e11f_size1,durand,Sc
Asher Brown Durand,White Mountains (?),1825,https://stor.artstor.org/stor/68096861-871f-4e54-bf27-28f0f3eff86d_size1,durand,Ns
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/52ad8805-9544-4020-b8cf-3ab88b06fba0_size1,durand,St
